product_name,product_ticker,category,release_date,sale_count,average_sale_price,topic,material,special_version,search_volume
Funko Pop! Ad Icons Pillsbury Pillsbury Doughboy with Shamrock Spring Convention Figure #41,F-POAIPPD41,ad-icons,,3,41.66666667,pillsbury doughboy,no,spring_convention,44000
Funko Pop! Ad Icons Big Boy (Sunglasses) Hollywood Exclusive Figure # 74,F-POAIBBS74,ad-icons,,10,60,big boy,no,hollywood_exclusive,40000
Funko Pop! Ad Icons Rice Krispies Snap! Crackle! Pop! Funko Shop Limited Edition 3 Pack,F-POAIRKSCK,ad-icons,,10,33.1,rice krispies,no,funko_shop_limited,24000
Funko Pop! Ad Icons Kellogs Froot Loops Toucan Sam Baja Scholership Foundation Limited Edition Figure #13,FPO-IKFLTFLEF13,ad-icons,,10,250.3,froot loops,no,limited,36000
Funko Pop! Ad Icons Cheetos Chester Cheetah Figure #77,F-POAICCC77,ad-icons,,10,22,chester cheetah,no,no,12000
Funko Pop! Ad Icons Coca-Cola Polar Bear Figure #58,F-POAICPB58,ad-icons,,10,25.1,coca-cola polar bear,no,no,70
Funko Pop! Ad Icons Target Bullseye Red Collar (Flocked) Target Exclusive Figure #05,F-POAITBR05,ad-icons,8/1/2019,10,31.4,target bullseye,flocked,target_exclusive,3900
Funko Pop! Ad Icons Kelloggs Fruit Loops Toucan Sam Funko Shop Exclusive Figure #13,FPO-AIKFLTSEF13,ad-icons,12/23/2018,10,150.1,froot loops,no,funko_shop_limited,36000
Funko Pop! Ad Icons Energizer Bunny Figure #73,F-POAIEBF73,ad-icons,,8,20,energizer bunny,no,no,14000
Funko Pop! Ad Icons Coca Cola Polar Bear (Flocked) Funko Shop Limited Edition Figure #58,F-POAICCP58,ad-icons,,10,32.6,coca-cola polar bear,no,funko_shop_limited,70
Funko Pop! Ad Icons Trix Rabbit (Flocked) Funko Shop Exclusive Figure #10,F-POAITTR10,ad-icons,10/22/2017,10,121.1,trix rabbit,flocked,funko_shop_limited,2200
Funko Pop! Ad Icons Kelloggs Frosted Flakes Tony the Tiger Funko Shop Exclusive Figure #08,F-POAIKFF08,ad-icons,3/17/2017,6,196,frosted flakes,no,funko_shop_limited,24000
Funko Pop! Ad Icons Smokey Bear Figure #75,F-POAISBF75,ad-icons,,5,20.6,smokey bear,no,no,9100
Funko Pop! Ad Icons Toys R Us Marvel Geoffrey as Iron Man Canadian Convention Exclusive Bobble Head Figure #29,F-POAITRU29,ad-icons,,8,29.25,toys r us geoffrey,no,canadian_convention,600
Funko Pop! Ad Icons Lucky Charms Lucky Leprechaun Funko Shop Exclusive Figure #11,FPO-AILCLLEFG11,ad-icons,10/1/2017,8,97.375,lucky leprechaun,no,funko_shop_limited,700
Funko Pop! Ad Icons StarKist Charlie The Tuna Funko Shop Limited Edition Figure #54,F-POAISCT54,ad-icons,,6,257.3333333,starkist charlie,no,funko_shop_limited,80
Funko Pop! Ad Icons Chester Cheetah (Bag) (Sunglasses) Hollywood Exclusive Figure # 78,F-POAICCW78,ad-icons,,10,53,chester cheetah,no,hollywood_exclusive,12000
Funko Pop! Ad Icons Bullseye Target Con Exclusive Figure #118,F-POAIBTC18,ad-icons,2/26/2021,5,33.4,target bullseye,no,convention_exclusive,3900
Funko Pop! Ad Icons Smokey Bear Funko Shop Limited Edition Figure #76,F-POAISBF76,ad-icons,,5,31,smokey bear,no,funko_shop_limited,9100
Funko Pop! Ad Icons Cap'n Crunch Target Exclusive Figure #14,F-POAICCT14,ad-icons,,6,22.16666667,cap'n crunch,no,target_exclusive,7700
Funko Pop! Ad Icons Energizer Bunny (Flocked) Funko Shop Limited Edition Figure #73,F-POAIEB73,ad-icons,,3,29.66666667,energizer bunny,flocked,funko_shop_limited,14000
Funko Pop! Ad Icons Cheetos Chester Cheetah (Diamond) Funko Shop Exclusive Figure #77,F-POAICCCF77,ad-icons,,3,25.33333333,chester cheetah,no,funko_shop_limited,12000
Funko Pop! Ad Icons Monster Cereals Fruit Brute Funko Shop Exclusive Figure #06,F-POAIMCF06,ad-icons,5/18/2017,4,133.75,monster cereals,no,funko_shop_limited,2700
